,minimum volatility monthly,maximum sharpe ratio monthly,minimum volatility yearly,maximum sharpe ratio yearly
2010-06-28,100.0,100.0,100.0,100.0
2010-06-29,100.0,100.0,100.0,100.0
2010-06-30,100.0,100.0,100.0,100.0
2010-07-01,100.0,100.0,100.0,100.0
2010-07-02,100.0,100.0,100.0,100.0
2010-07-06,100.0,100.0,100.0,100.0
2010-07-07,100.0,100.0,100.0,100.0
2010-07-08,100.0,100.0,100.0,100.0
2010-07-09,100.0,100.0,100.0,100.0
2010-07-12,100.0,100.0,100.0,100.0
2010-07-13,100.0,100.0,100.0,100.0
2010-07-14,100.0,100.0,100.0,100.0
2010-07-15,100.0,100.0,100.0,100.0
2010-07-16,100.0,100.0,100.0,100.0
2010-07-19,100.0,100.0,100.0,100.0
2010-07-20,100.0,100.0,100.0,100.0
2010-07-21,100.0,100.0,100.0,100.0
2010-07-22,100.0,100.0,100.0,100.0
2010-07-23,100.0,100.0,100.0,100.0
2010-07-26,100.0,100.0,100.0,100.0
2010-07-27,100.0,100.0,100.0,100.0
2010-07-28,100.0,100.0,100.0,100.0
2010-07-29,100.0,100.0,100.0,100.0
2010-07-30,100.0,100.0,100.0,100.0
2010-08-02,100.0,100.0,100.0,100.0
2010-08-03,100.0,100.0,100.0,100.0
2010-08-04,100.0,100.0,100.0,100.0
2010-08-05,100.0,100.0,100.0,100.0
2010-08-06,100.0,100.0,100.0,100.0
2010-08-09,100.0,100.0,100.0,100.0
2010-08-10,100.0,100.0,100.0,100.0
2010-08-11,100.0,100.0,100.0,100.0
2010-08-12,100.0,100.0,100.0,100.0
2010-08-13,100.0,100.0,100.0,100.0
2010-08-16,100.0,100.0,100.0,100.0
2010-08-17,100.0,100.0,100.0,100.0
2010-08-18,100.0,100.0,100.0,100.0
2010-08-19,100.0,100.0,100.0,100.0
2010-08-20,100.0,100.0,100.0,100.0
2010-08-23,100.0,100.0,100.0,100.0
2010-08-24,100.0,100.0,100.0,100.0
2010-08-25,100.0,100.0,100.0,100.0
2010-08-26,100.0,100.0,100.0,100.0
2010-08-27,100.0,100.0,100.0,100.0
2010-08-30,100.0,100.0,100.0,100.0
2010-08-31,100.0,100.0,100.0,100.0
2010-09-01,100.0,100.0,100.0,100.0
2010-09-02,100.0,100.0,100.0,100.0
2010-09-03,100.0,100.0,100.0,100.0
2010-09-07,100.0,100.0,100.0,100.0
2010-09-08,100.0,100.0,100.0,100.0
2010-09-09,100.0,100.0,100.0,100.0
2010-09-10,100.0,100.0,100.0,100.0
2010-09-13,100.0,100.0,100.0,100.0
2010-09-14,100.0,100.0,100.0,100.0
2010-09-15,100.0,100.0,100.0,100.0
2010-09-16,100.0,100.0,100.0,100.0
2010-09-17,100.0,100.0,100.0,100.0
2010-09-20,100.0,100.0,100.0,100.0
2010-09-21,100.0,100.0,100.0,100.0
2010-09-22,100.0,100.0,100.0,100.0
2010-09-23,100.0,100.0,100.0,100.0
2010-09-24,100.0,100.0,100.0,100.0
2010-09-27,100.0,100.0,100.0,100.0
2010-09-28,100.0,100.0,100.0,100.0
2010-09-29,100.0,100.0,100.0,100.0
2010-09-30,100.0,100.0,100.0,100.0
2010-10-01,100.0,100.0,100.0,100.0
2010-10-04,100.0,100.0,100.0,100.0
2010-10-05,100.0,100.0,100.0,100.0
2010-10-06,100.0,100.0,100.0,100.0
2010-10-07,100.0,100.0,100.0,100.0
2010-10-08,100.0,100.0,100.0,100.0
2010-10-11,100.0,100.0,100.0,100.0
2010-10-12,100.0,100.0,100.0,100.0
2010-10-13,100.0,100.0,100.0,100.0
2010-10-14,100.0,100.0,100.0,100.0
2010-10-15,100.0,100.0,100.0,100.0
2010-10-18,100.0,100.0,100.0,100.0
2010-10-19,100.0,100.0,100.0,100.0
2010-10-20,100.0,100.0,100.0,100.0
2010-10-21,100.0,100.0,100.0,100.0
2010-10-22,100.0,100.0,100.0,100.0
2010-10-25,100.0,100.0,100.0,100.0
2010-10-26,100.0,100.0,100.0,100.0
2010-10-27,100.0,100.0,100.0,100.0
2010-10-28,100.0,100.0,100.0,100.0
2010-10-29,100.0,100.0,100.0,100.0
2010-11-01,100.0,100.0,100.0,100.0
2010-11-02,100.0,100.0,100.0,100.0
2010-11-03,100.0,100.0,100.0,100.0
2010-11-04,100.0,100.0,100.0,100.0
2010-11-05,100.0,100.0,100.0,100.0
2010-11-08,100.0,100.0,100.0,100.0
2010-11-09,100.0,100.0,100.0,100.0
2010-11-10,100.0,100.0,100.0,100.0
2010-11-11,100.0,100.0,100.0,100.0
2010-11-12,100.0,100.0,100.0,100.0
2010-11-15,100.0,100.0,100.0,100.0
2010-11-16,100.0,100.0,100.0,100.0
2010-11-17,100.0,100.0,100.0,100.0
2010-11-18,100.0,100.0,100.0,100.0
2010-11-19,100.0,100.0,100.0,100.0
2010-11-22,100.0,100.0,100.0,100.0
2010-11-23,100.0,100.0,100.0,100.0
2010-11-24,100.0,100.0,100.0,100.0
2010-11-26,100.0,100.0,100.0,100.0
2010-11-29,100.0,100.0,100.0,100.0
2010-11-30,100.0,100.0,100.0,100.0
2010-12-01,100.0,100.0,100.0,100.0
2010-12-02,100.0,100.0,100.0,100.0
2010-12-03,100.0,100.0,100.0,100.0
2010-12-06,100.0,100.0,100.0,100.0
2010-12-07,100.0,100.0,100.0,100.0
2010-12-08,100.0,100.0,100.0,100.0
2010-12-09,100.0,100.0,100.0,100.0
2010-12-10,100.0,100.0,100.0,100.0
2010-12-13,100.0,100.0,100.0,100.0
2010-12-14,100.0,100.0,100.0,100.0
2010-12-15,100.0,100.0,100.0,100.0
2010-12-16,100.0,100.0,100.0,100.0
2010-12-17,100.0,100.0,100.0,100.0
2010-12-20,100.0,100.0,100.0,100.0
2010-12-21,100.0,100.0,100.0,100.0
2010-12-22,100.0,100.0,100.0,100.0
2010-12-23,100.0,100.0,100.0,100.0
2010-12-27,100.0,100.0,100.0,100.0
2010-12-28,100.0,100.0,100.0,100.0
2010-12-29,100.0,100.0,100.0,100.0
2010-12-30,100.0,100.0,100.0,100.0
2010-12-31,100.0,100.0,100.0,100.0
2011-01-03,100.0,100.0,100.0,100.0
2011-01-04,100.0,100.0,100.0,100.0
2011-01-05,100.0,100.0,100.0,100.0
2011-01-06,100.0,100.0,100.0,100.0
2011-01-07,100.0,100.0,100.0,100.0
2011-01-10,100.0,100.0,100.0,100.0
2011-01-11,100.0,100.0,100.0,100.0
2011-01-12,100.0,100.0,100.0,100.0
2011-01-13,100.0,100.0,100.0,100.0
2011-01-14,100.0,100.0,100.0,100.0
2011-01-18,100.0,100.0,100.0,100.0
2011-01-19,100.0,100.0,100.0,100.0
2011-01-20,100.0,100.0,100.0,100.0
2011-01-21,100.0,100.0,100.0,100.0
2011-01-24,100.0,100.0,100.0,100.0
2011-01-25,100.0,100.0,100.0,100.0
2011-01-26,100.0,100.0,100.0,100.0
2011-01-27,100.0,100.0,100.0,100.0
2011-01-28,100.0,100.0,100.0,100.0
2011-01-31,100.0,100.0,100.0,100.0
2011-02-01,100.0,100.0,100.0,100.0
2011-02-02,99.3675903614998,99.69882526874542,100.0,100.0
2011-02-03,100.62059524297715,99.60155924091339,100.0,100.0
2011-02-04,101.21680585746766,101.33503609428405,100.0,100.0
2011-02-07,101.03033488416672,100.95201660823821,100.0,100.0
2011-02-08,102.66495674438477,101.50922781887054,100.0,100.0
2011-02-09,103.47083272266387,101.88229848728179,100.0,100.0
2011-02-10,103.64554897928237,102.76357123279571,100.0,100.0
2011-02-11,104.73303564186095,104.51398119392394,100.0,100.0
2011-02-14,104.97529967794416,106.46516457824707,100.0,100.0
2011-02-15,104.98720760641098,105.05014981689453,100.0,100.0
2011-02-16,105.10921783161164,105.1407722043991,100.0,100.0
2011-02-17,105.39519868564608,104.83340880107879,100.0,100.0
2011-02-18,106.02641984729769,105.05414970149994,100.0,100.0
2011-02-22,105.23250957822802,101.76171144580842,100.0,100.0
2011-02-23,103.6200232524872,98.96944536571503,100.0,100.0
2011-02-24,103.83851069641115,99.9078449769974,100.0,100.0
2011-02-25,105.2814014779091,100.99247163124086,100.0,100.0
2011-02-28,106.29332006931307,100.15163772010806,100.0,100.0
2011-03-01,106.28261720762255,99.15369392395023,100.0,100.0
2011-03-02,106.88375002794268,100.43708504304888,100.0,100.0
2011-03-03,107.7277610790253,101.95642658557895,100.0,100.0
2011-03-04,107.58006256999973,102.16873838033679,100.0,100.0
2011-03-07,107.14005365562441,101.58207353410724,100.0,100.0
2011-03-08,108.34792856302265,102.34143909931184,100.0,100.0
2011-03-09,108.69953417148595,102.39526145286563,100.0,100.0
2011-03-10,107.78048936738973,101.1491465181351,100.0,100.0
2011-03-11,107.83644158935553,101.66747461938861,100.0,100.0
2011-03-14,106.7319195065499,101.1498555643082,100.0,100.0
2011-03-15,105.53970990200048,100.14069743900302,100.0,100.0
2011-03-16,104.54759262943274,99.69001160717013,100.0,100.0
2011-03-17,105.54295433073051,99.57848159132007,100.0,100.0
2011-03-18,107.20927413911828,99.72023274831774,100.0,100.0
2011-03-21,108.36716903247842,100.87293726072313,100.0,100.0
2011-03-22,108.294476859665,100.12670671730044,100.0,100.0
2011-03-23,108.74311796417244,100.96505304508213,100.0,100.0
2011-03-24,109.86598884277352,102.08106137466436,100.0,100.0
2011-03-25,110.49956222257623,103.53360640573507,100.0,100.0
2011-03-28,109.99789249925622,102.74507917804723,100.0,100.0
2011-03-29,110.5306772696496,103.80203547773368,100.0,100.0
2011-03-30,110.68291342496882,104.61439484615332,100.0,100.0
2011-03-31,111.03561597671518,104.62167733116154,100.0,100.0
2011-04-01,111.9702465227128,104.7408884719849,100.0,100.0
2011-04-04,112.10841284961708,105.0097570281983,100.0,100.0
2011-04-05,112.62673173484811,105.34615461654667,100.0,100.0
2011-04-06,113.72499373264323,105.20807174320225,100.0,100.0
2011-04-07,113.38664435577402,104.59397613916401,100.0,100.0
2011-04-08,113.00706468534479,104.25284028911595,100.0,100.0
2011-04-11,112.8733998339654,103.17069258270269,100.0,100.0
2011-04-12,113.36493764734278,103.70261079778676,100.0,100.0
2011-04-13,114.0951824669839,105.46644210968022,100.0,100.0
2011-04-14,114.42057144651424,105.3149312585831,100.0,100.0
2011-04-15,114.90728363342296,105.66425927267078,100.0,100.0
2011-04-18,113.7321624707223,104.47641293764117,100.0,100.0
2011-04-19,113.66960754070293,105.14212920198443,100.0,100.0
2011-04-20,114.42471936178218,107.07202734813693,100.0,100.0
2011-04-21,114.2954615140916,107.2310767552376,100.0,100.0
2011-04-25,113.93278241062174,106.56030947113038,100.0,100.0
2011-04-26,114.78414575996408,105.06810457363129,100.0,100.0
2011-04-27,115.87290637578973,106.36564702301025,100.0,100.0
2011-04-28,116.8377879992486,107.80062632427216,100.0,100.0
2011-04-29,117.1266118112565,108.13851677970887,100.0,100.0
2011-05-02,117.17622202243813,108.36751939582824,100.0,100.0
2011-05-03,117.51852491369254,107.74769432582855,100.0,100.0
2011-05-04,116.99888429517753,106.640251130867,100.0,100.0
2011-05-05,116.22899014568337,106.51056079902649,100.0,100.0
2011-05-06,116.5527260731698,107.12381876735688,100.0,100.0
2011-05-09,116.99733520135888,108.18762159967422,100.0,100.0
2011-05-10,117.84502629928596,109.12153872995376,100.0,100.0
2011-05-11,117.83415036058433,108.85074631328581,100.0,100.0
2011-05-12,119.36232401161202,110.47041301269529,100.0,100.0
2011-05-13,118.9222577480317,109.89530673942564,100.0,100.0
2011-05-16,118.32543451223383,108.54137221450803,100.0,100.0
2011-05-17,118.27745709753046,107.88008460388181,100.0,100.0
2011-05-18,119.14634428567895,109.49844974365233,100.0,100.0
2011-05-19,119.1410799381257,109.95072096881866,100.0,100.0
2011-05-20,118.57678197307595,109.62529991693496,100.0,100.0
2011-05-23,117.66866912364968,108.75238111982345,100.0,100.0
2011-05-24,118.12607682142267,109.14294137849807,100.0,100.0
2011-05-25,117.23450398006449,109.58080579929351,100.0,100.0
2011-05-26,117.67065476837168,110.63631768741607,100.0,100.0
2011-05-27,118.12959930725107,110.91373155279159,100.0,100.0
2011-05-31,118.85255345468529,111.7948166662216,100.0,100.0
2011-06-01,118.23769264907845,111.14131965875625,100.0,100.0
2011-06-02,117.63937514295587,110.77025516471862,100.0,100.0
2011-06-03,116.89875062456139,110.28940379724501,100.0,100.0
2011-06-06,116.29135266857155,109.02985904712675,100.0,100.0
2011-06-07,116.42035257396705,109.5482873837471,100.0,100.0
2011-06-08,116.88899327239999,109.21885844898223,100.0,100.0
2011-06-09,117.28961338653572,109.6855515311241,100.0,100.0
2011-06-10,115.975434955597,108.036122062397,100.0,100.0
2011-06-13,115.71427053728111,107.38221044120789,100.0,100.0
2011-06-14,116.73964541158684,108.94465826635361,100.0,100.0
2011-06-15,115.45704802703864,107.50277368917465,100.0,100.0
2011-06-16,116.13036082372673,107.19847977247237,100.0,100.0
2011-06-17,116.79689714775094,107.2026383898735,100.0,100.0
2011-06-20,117.29781986303338,107.65754403028487,100.0,100.0
2011-06-21,117.87970593433388,109.61056732463834,100.0,100.0
2011-06-22,117.71138241539009,109.62046292734144,100.0,100.0
2011-06-23,116.86715065307625,109.9570033325195,100.0,100.0
2011-06-24,116.20971922283181,109.63214115953443,100.0,100.0
2011-06-27,116.56153863945016,110.63634433336256,100.0,100.0
2011-06-28,116.94606064205179,112.06676604261395,100.0,100.0
2011-06-29,117.06142654905328,112.01943317451475,100.0,100.0
2011-06-30,117.5974174633027,112.39857883987425,100.0,100.0
2011-07-01,118.98637011556634,114.21042231369016,100.0,100.0
2011-07-05,118.9533362917901,116.15540996646877,100.0,100.0
2011-07-06,119.39702344875346,116.79999527788158,100.0,100.0
2011-07-07,119.60149113912591,116.6096057933807,100.0,100.0
2011-07-08,118.96609505758295,116.84008830623623,100.0,100.0
2011-07-11,117.88909901466378,114.88538772878643,100.0,100.0
2011-07-12,118.13509294109355,114.57486271600719,100.0,100.0
2011-07-13,118.02096424236308,115.59430791406626,100.0,100.0
2011-07-14,117.64060869646082,114.3410291204452,100.0,100.0
2011-07-15,117.57412810726176,114.20785610189432,100.0,100.0
2011-07-18,116.58152658157358,113.0714723433494,100.0,100.0
2011-07-19,117.98456113052377,115.35265289678567,100.0,100.0
2011-07-20,117.69982503194818,112.98019907207483,100.0,100.0
2011-07-21,118.52632536821375,112.28708210525507,100.0,100.0
2011-07-22,118.56614468784342,112.1498615311622,100.0,100.0
2011-07-25,117.63611159715661,111.31842949180597,100.0,100.0
2011-07-26,117.37423103532801,110.01362441940302,100.0,100.0
2011-07-27,116.23367952194224,107.41412566461557,100.0,100.0
2011-07-28,115.70423889274606,107.12024060525889,100.0,100.0
2011-07-29,115.11542475090036,107.0604239096641,100.0,100.0
2011-08-01,114.70902193803796,106.55493605022424,100.0,100.0
2011-08-02,112.04708361711512,103.5463990894317,100.0,100.0
2011-08-03,112.7740232011796,105.10092762794488,100.0,100.0
2011-08-04,108.11600113945019,99.5234678798675,100.0,100.0
2011-08-05,109.14327198495876,99.14903310146326,100.0,100.0
2011-08-08,104.0827711997987,92.95336408176418,100.0,100.0
2011-08-09,107.89310466585171,97.83440404205318,100.0,100.0
2011-08-10,105.65569439897548,96.19679470195766,100.0,100.0
2011-08-11,109.58835651588453,100.2883008094787,100.0,100.0
2011-08-12,110.4700114204408,102.13422759170525,100.0,100.0
2011-08-15,112.47059576807034,102.74846506843559,100.0,100.0
2011-08-16,112.22923279676449,102.18627055797569,100.0,100.0
2011-08-17,112.27242668457042,100.13430606479636,100.0,100.0
2011-08-18,107.89736476621638,95.74585133457175,100.0,100.0
2011-08-19,106.08750103349696,95.01556537246697,100.0,100.0
2011-08-22,106.04767348365795,94.50874394683831,100.0,100.0
2011-08-23,109.10561124391567,98.80566973323815,100.0,100.0
2011-08-24,110.15781597652449,100.69411613845818,100.0,100.0
2011-08-25,108.3656090254785,98.68021241741174,100.0,100.0
2011-08-26,110.08376483526246,102.32129158706658,100.0,100.0
2011-08-29,113.03120262861268,105.49798977890006,100.0,100.0
2011-08-30,113.20221748676315,106.24131248531333,100.0,100.0
2011-08-31,112.90364927539841,106.03470063133231,100.0,100.0
2011-09-01,112.16084330911652,104.78312560214988,100.0,100.0
2011-09-02,110.87617299299255,103.96333877811423,100.0,100.0
2011-09-06,110.90097447061554,105.76955308589926,100.0,100.0
2011-09-07,112.48632558755891,105.83820255718223,100.0,100.0
2011-09-08,112.30307276468292,106.24001932888022,100.0,100.0
2011-09-09,110.11198362989441,104.40604052524557,100.0,100.0
2011-09-12,110.59710158319488,104.9925648508071,100.0,100.0
2011-09-13,111.34488143663422,106.26775352802267,100.0,100.0
2011-09-14,112.89386764116304,108.00378533382406,100.0,100.0
2011-09-15,114.20779033651368,109.24890363101949,100.0,100.0
2011-09-16,115.42771638727204,110.16491268253316,100.0,100.0
2011-09-19,114.8617002089502,112.49731011257161,100.0,100.0
2011-09-20,114.8437801918985,111.86571851177204,100.0,100.0
2011-09-21,112.87310027380005,111.26297917385091,100.0,100.0
2011-09-22,110.78124760713592,108.53159545688618,100.0,100.0
2011-09-23,111.7478098755838,110.09424027538287,100.0,100.0
2011-09-26,113.63629684991851,112.0368636026381,100.0,100.0
2011-09-27,113.88396126985563,111.14313352107987,100.0,100.0
2011-09-28,112.22526422224058,109.5143141294478,100.0,100.0
2011-09-29,112.55010423097625,107.87851392841326,100.0,100.0
2011-09-30,111.80095613813414,107.33546760387408,100.0,100.0
2011-10-03,109.18614115762725,103.97920758647906,100.0,100.0
2011-10-04,110.61118026037231,106.604493707466,100.0,100.0
2011-10-05,110.56171411962524,107.63507657299029,100.0,100.0
2011-10-06,112.13161501722351,108.8169035436629,100.0,100.0
2011-10-07,112.29950892763152,109.3025326364516,100.0,100.0
2011-10-10,114.71665001020446,112.34171896495808,100.0,100.0
2011-10-11,113.99108910169616,112.44418637332905,100.0,100.0
2011-10-12,114.10651944017425,111.05923632488239,100.0,100.0
2011-10-13,114.23613268346801,111.27974458751666,100.0,100.0
2011-10-14,115.04813260526673,111.60229651432024,100.0,100.0
2011-10-17,114.52490660982149,111.02669228763567,100.0,100.0
2011-10-18,113.77908063516634,111.18842956256853,100.0,100.0
2011-10-19,113.46886972551363,110.82671315937029,100.0,100.0
2011-10-20,113.80997877836244,111.39418787097918,100.0,100.0
2011-10-21,114.79322575273531,112.1483944837569,100.0,100.0
2011-10-24,115.20116996068973,113.70966071643818,100.0,100.0
2011-10-25,113.91485480318087,111.90647329006184,100.0,100.0
2011-10-26,114.1118868969919,111.40473544216145,100.0,100.0
2011-10-27,115.46406562337893,112.15450164699543,100.0,100.0
2011-10-28,115.02351225042361,111.58536695651996,100.0,100.0
2011-10-31,114.04523069028872,111.08624623508442,100.0,100.0
2011-11-01,112.99018380994815,110.59494776439655,100.0,100.0
2011-11-02,113.84294343261736,110.54210000362386,100.0,100.0
2011-11-03,115.15787712268843,110.95422109508503,100.0,100.0
2011-11-04,114.8215426424028,111.68163277149189,100.0,100.0
2011-11-07,115.8459301866533,112.03265942707051,100.0,100.0
2011-11-08,116.92500152921693,112.73377756366719,100.0,100.0
2011-11-09,113.9258144635202,110.47861769275654,100.0,100.0
2011-11-10,114.65822371988311,110.33769869480123,100.0,100.0
2011-11-11,116.41413353567138,111.98269536952962,100.0,100.0
2011-11-14,115.74019613151565,112.29448892002097,100.0,100.0
2011-11-15,116.7308891747476,112.80436075572959,100.0,100.0
2011-11-16,114.84771958379758,110.0954811285018,100.0,100.0
2011-11-17,113.46320139255536,109.13364161472312,100.0,100.0
2011-11-18,113.61603067245495,108.8405790544509,100.0,100.0
2011-11-21,112.28267063226711,107.41416847896568,100.0,100.0
2011-11-22,111.75598908929835,108.05528559093466,100.0,100.0
2011-11-23,110.0946014035226,106.35737222194663,100.0,100.0
2011-11-25,110.80220362148296,106.3746346227645,100.0,100.0
2011-11-28,111.53602007570278,108.25386373729697,100.0,100.0
2011-11-29,113.0277952147485,109.40375124263754,100.0,100.0
2011-11-30,115.92903692398082,112.28687446079245,100.0,100.0
2011-12-01,116.76608520479213,113.53564307613364,100.0,100.0
2011-12-02,116.13141378126156,113.11747172222128,100.0,100.0
2011-12-05,117.00819950037015,114.12038786182394,100.0,100.0
2011-12-06,117.35717539377225,113.43186788921348,100.0,100.0
2011-12-07,117.43787018957151,113.17894909267416,100.0,100.0
2011-12-08,116.76365661211027,113.10498819866172,100.0,100.0
2011-12-09,117.59932104673399,113.92818306560507,100.0,100.0
2011-12-12,117.47882414999022,114.30034271717064,100.0,100.0
2011-12-13,116.85907196817412,112.43687285709373,100.0,100.0
2011-12-14,116.25208344163909,110.26297231273644,100.0,100.0
2011-12-15,117.3229368079187,110.9940766679763,100.0,100.0
2011-12-16,116.99419283933653,111.66672993259421,100.0,100.0
2011-12-19,116.47935994634642,110.81471301555625,100.0,100.0
2011-12-20,118.0551422669412,112.81166381969443,100.0,100.0
2011-12-21,119.15976242170345,113.32218863048546,100.0,100.0
2011-12-22,118.55489951009763,112.50783993358604,100.0,100.0
2011-12-23,119.55381975049984,114.1145404848098,100.0,100.0
2011-12-27,119.96173959417355,115.30510503444664,100.0,100.0
2011-12-28,119.05568459081661,114.87109462566367,100.0,100.0
2011-12-29,119.72975385999692,114.91885332393637,100.0,100.0
2011-12-30,119.00456823263181,114.26112294521323,100.0,100.0
2012-01-03,117.81972588624967,112.99017114047996,100.0,100.0
2012-01-04,117.91301835374846,114.06316273059836,100.07910901165009,101.05310672798156
2012-01-05,118.0897361571313,114.70268287830343,100.22907151947021,101.63387976207731
2012-01-06,118.27122008581175,114.99639130420675,100.38294880275726,101.9275125925064
2012-01-09,117.88162918748868,114.68982595386497,100.05237929325102,101.56651379966735
2012-01-10,118.23993287763608,115.06233666477195,100.35647368011473,101.95063609085082
2012-01-11,118.01032274427426,115.25762204914083,100.16147389583587,102.1742350856781
2012-01-12,118.6368901070596,115.69601552333823,100.69325185947417,102.49241405830385
2012-01-13,118.41723752412808,115.99553455371847,100.50683142604828,102.82267240428925
2012-01-17,118.60026986989988,116.04494748477926,100.66212266654968,102.77914034671784
2012-01-18,119.37514073820127,117.30470903263083,101.31958632621765,103.91018785858155
